glibc-1.09.1,glibc_1
glibc-2.0.1,glibc_2
glibc-2.1.1,glibc_3
glibc-2.1.2,glibc_4
glibc-2.1.3,glibc_5
glibc-2.10.1,glibc_6
glibc-2.11,glibc_7
glibc-2.11.1,glibc_8
glibc-2.11.2,glibc_9
glibc-2.11.3,glibc_10
glibc-2.12.1,glibc_11
glibc-2.12.2,glibc_12
glibc-2.13,glibc_13
glibc-2.14,glibc_14
glibc-2.14.1,glibc_15
glibc-2.15,glibc_16
glibc-2.16.0,glibc_17
glibc-2.17,glibc_18
glibc-2.18,glibc_19
glibc-2.19,glibc_20
glibc-2.2,glibc_21
glibc-2.2.1,glibc_22
glibc-2.2.2,glibc_23
glibc-2.2.3,glibc_24
glibc-2.2.4,glibc_25
glibc-2.2.5,glibc_26
glibc-2.20,glibc_27
glibc-2.21,glibc_28
glibc-2.22,glibc_29
glibc-2.23,glibc_30
glibc-2.24,glibc_31
glibc-2.25,glibc_32
glibc-2.26,glibc_33
glibc-2.27,glibc_34
glibc-2.3,glibc_35
glibc-2.3.1,glibc_36
glibc-2.3.2,glibc_37
glibc-2.3.3,glibc_38
glibc-2.3.4,glibc_39
glibc-2.3.5,glibc_40
glibc-2.3.6,glibc_41
glibc-2.4,glibc_42
glibc-2.5,glibc_43
glibc-2.5.1,glibc_44
glibc-2.6,glibc_45
glibc-2.6.1,glibc_46
glibc-2.7,glibc_47
glibc-2.8,glibc_48
glibc-2.9,glibc_49
